extent,cluster_id,start_date,end_date,heatwave_start,heatwave_end,time_range,lat_range,lon_range,heatwave_length,month,year,spatial_extent
"{'time_range': (9104, 9106), 'lat_range': (35.15625, 38.671875), 'lon_range': (7.017543859649096, 9.824561403508744), 'heatwave_length': 3}",968,1964-12-11,1964-12-13,9104,9106,"(9104, 9106)","(35.15625, 38.671875)","(7.017543859649096, 9.824561403508744)",3,12,1964,97776.0
"{'time_range': (9154, 9157), 'lat_range': (43.59375, 54.84375), 'lon_range': (-9.824561403508792, -7.719298245614056), 'heatwave_length': 4}",971,1965-01-30,1965-02-02,9154,9157,"(9154, 9157)","(43.59375, 54.84375)","(-9.824561403508792, -7.719298245614056)",4,1,1965,191705.0
"{'time_range': (9157, 9159), 'lat_range': (35.859375, 42.890625), 'lon_range': (-4.2105263157894965, -2.1052631578947603), 'heatwave_length': 3}",973,1965-02-02,1965-02-04,9157,9159,"(9157, 9159)","(35.859375, 42.890625)","(-4.2105263157894965, -2.1052631578947603)",3,2,1965,141798.0
"{'time_range': (9210, 9217), 'lat_range': (35.859375, 54.84375), 'lon_range': (-7.719298245614056, 9.824561403508744), 'heatwave_length': 8}",974,1965-03-27,1965-04-03,9210,9217,"(9210, 9217)","(35.859375, 54.84375)","(-7.719298245614056, 9.824561403508744)",8,3,1965,2900492.0
"{'time_range': (9230, 9234), 'lat_range': (35.859375, 40.78125), 'lon_range': (-9.824561403508792, -2.1052631578947603), 'heatwave_length': 5}",976,1965-04-16,1965-04-20,9230,9234,"(9230, 9234)","(35.859375, 40.78125)","(-9.824561403508792, -2.1052631578947603)",5,4,1965,369385.0
"{'time_range': (9251, 9261), 'lat_range': (35.859375, 54.84375), 'lon_range': (-9.824561403508792, 9.824561403508744), 'heatwave_length': 11}",977,1965-05-07,1965-05-17,9251,9261,"(9251, 9261)","(35.859375, 54.84375)","(-9.824561403508792, 9.824561403508744)",11,5,1965,3248551.0
"{'time_range': (9256, 9258), 'lat_range': (35.15625, 38.671875), 'lon_range': (7.017543859649096, 9.824561403508744), 'heatwave_length': 3}",978,1965-05-12,1965-05-14,9256,9258,"(9256, 9258)","(35.15625, 38.671875)","(7.017543859649096, 9.824561403508744)",3,5,1965,97776.0
"{'time_range': (9293, 9304), 'lat_range': (35.859375, 49.21875), 'lon_range': (-9.824561403508792, 0.7017543859648876), 'heatwave_length': 12}",980,1965-06-18,1965-06-29,9293,9304,"(9293, 9304)","(35.859375, 49.21875)","(-9.824561403508792, 0.7017543859648876)",12,6,1965,1284010.0
"{'time_range': (9299, 9305), 'lat_range': (40.78125, 54.84375), 'lon_range': (-7.017543859649145, 8.42105263157892), 'heatwave_length': 7}",981,1965-06-24,1965-06-30,9299,9305,"(9299, 9305)","(40.78125, 54.84375)","(-7.017543859649145, 8.42105263157892)",7,6,1965,1806762.0
"{'time_range': (9318, 9320), 'lat_range': (54.140625, 54.84375), 'lon_range': (2.1052631578947114, 7.017543859649096), 'heatwave_length': 3}",982,1965-07-13,1965-07-15,9318,9320,"(9318, 9320)","(54.140625, 54.84375)","(2.1052631578947114, 7.017543859649096)",3,7,1965,24860.0
"{'time_range': (9328, 9331), 'lat_range': (45.703125, 54.84375), 'lon_range': (-9.824561403508792, -7.719298245614056), 'heatwave_length': 4}",983,1965-07-23,1965-07-26,9328,9331,"(9328, 9331)","(45.703125, 54.84375)","(-9.824561403508792, -7.719298245614056)",4,7,1965,152410.0
"{'time_range': (9342, 9344), 'lat_range': (53.4375, 54.84375), 'lon_range': (-2.4424906541753444e-14, 4.9122807017543595), 'heatwave_length': 3}",985,1965-08-06,1965-08-08,9342,9344,"(9342, 9344)","(53.4375, 54.84375)","(-2.4424906541753444e-14, 4.9122807017543595)",3,8,1965,50146.0
"{'time_range': (9343, 9345), 'lat_range': (54.84375, 54.84375), 'lon_range': (-1.4035087719298485, -0.7017543859649364), 'heatwave_length': 3}",986,1965-08-07,1965-08-09,9343,9345,"(9343, 9345)","(54.84375, 54.84375)","(-1.4035087719298485, -0.7017543859649364)",3,8,1965,0.0
"{'time_range': (9363, 9366), 'lat_range': (35.859375, 40.078125), 'lon_range': (-7.719298245614056, -2.1052631578947603), 'heatwave_length': 4}",987,1965-08-27,1965-08-30,9363,9366,"(9363, 9366)","(35.859375, 40.078125)","(-7.719298245614056, -2.1052631578947603)",4,8,1965,231378.0
"{'time_range': (9387, 9389), 'lat_range': (35.859375, 41.484375), 'lon_range': (-7.719298245614056, -1.4035087719298485), 'heatwave_length': 3}",988,1965-09-20,1965-09-22,9387,9389,"(9387, 9389)","(35.859375, 41.484375)","(-7.719298245614056, -1.4035087719298485)",3,9,1965,343717.0
"{'time_range': (9390, 9393), 'lat_range': (42.890625, 54.84375), 'lon_range': (4.210526315789448, 9.824561403508744), 'heatwave_length': 4}",989,1965-09-23,1965-09-26,9390,9393,"(9390, 9393)","(42.890625, 54.84375)","(4.210526315789448, 9.824561403508744)",4,9,1965,547018.0
"{'time_range': (9401, 9406), 'lat_range': (40.78125, 54.140625), 'lon_range': (1.4035087719297996, 9.824561403508744), 'heatwave_length': 6}",990,1965-10-04,1965-10-09,9401,9406,"(9401, 9406)","(40.78125, 54.140625)","(1.4035087719297996, 9.824561403508744)",6,10,1965,942552.0
"{'time_range': (9433, 9435), 'lat_range': (47.8125, 54.84375), 'lon_range': (-9.824561403508792, -7.719298245614056), 'heatwave_length': 3}",992,1965-11-05,1965-11-07,9433,9435,"(9433, 9435)","(47.8125, 54.84375)","(-9.824561403508792, -7.719298245614056)",3,11,1965,114622.0
"{'time_range': (9434, 9436), 'lat_range': (54.140625, 54.84375), 'lon_range': (-2.8070175438596725, -2.4424906541753444e-14), 'heatwave_length': 3}",993,1965-11-06,1965-11-08,9434,9436,"(9434, 9436)","(54.140625, 54.84375)","(-2.8070175438596725, -2.4424906541753444e-14)",3,11,1965,14206.0
